title,pmid,abstract,indice
Pharmacokinetics and metabolism of the flavonoid scutellarin in humans after a single oral administration,16714374,"Scutellarin is widely used in treating various cardiovascular diseases. Few data are available regarding its metabolism and pharmacokinetics in humans. The objectives of this study were to develop methods to identify major metabolites of scutellarin in human urine and plasma and to determine simultaneously the parent drug and its major metabolites in human plasma for pharmacokinetic studies. Four metabolites were detected in urine samples by liquid chromatography coupled with electrospray multi-stage mass spectrometry (MS), but only one of them was found in plasma. Its structure was confirmed as scutellarein 6-O-beta-D-glucuronide by MS, NMR, and UV absorbance spectra. The plasma concentrations of scutellarin and the major metabolite were simultaneously determined using liquid chromatography-tandem MS. After a single p.o. administration of 60 mg of scutellarin to 20 healthy subjects, the plasma concentrations of scutellarin were very low, and its plasma concentration-time curve was also anomalous. Plasma concentration of the major metabolite was comparatively high, and the peak plasma concentration was 87.0 +/- 29.1 ng/ml. The Tmax was late (7.85 +/- 1.62 h), and part of individual pharmacokinetic profiles showed double peaks, which indicated scutellarin could be absorbed into the intestine after hydrolysis to its aglycone by bacterial enzymes. This was followed by reconjugation in the intestinal cell and/or liver with glucuronic acid catalyzed by the phase II enzyme, which showed regioselectivity and species difference. The regioselectivity of glucuronoconjugation for scutellarin may be of importance for pharmacological activity. Plasma concentration of isoscutellarin can be used as a biomarker of scutellarin intake.",203
Quantitative determination of acetyl glucoside isoflavones and their metabolites in human urine using combined liquid chromatography-mass spectrometry,NA,NA,204
Identification of metabolites of tectoridin in-vivo and in-vitro by liquid chromatography-tandem mass spectrometry,18498706,"In this work, liquid chromatography-electrospray ionization tandem ion-trap mass spectrometry (LC-MS(n)) was used to investigate the in-vivo and in-vitro metabolism of tectoridin. After oral administration of a single dose (100 mg kg(-1)) of tectoridin to healthy rats, faeces and urine samples were collected for 0-48 h and 0-24 h, respectively. Tectoridin was also incubated with rat intestinal flora and rat liver microsomes. Samples from in-vivo and in-vitro metabolism studies were purified using a C(18) solid-phase extraction cartridge, then separated using a reverse-phase C(18) column with methanol/ water (30:70, v/v, adjusted to pH 10.0 with ammonia water) as mobile phase and detected by an on-line MS(n) system. The structure of the metabolites was elucidated by comparing their molecular weights, retention times and full-scan MS(n) spectra with those of the parent drug. The results revealed six metabolites of tectoridin in urine (tectorigenin, hydrogenated tectorigenin, mono-hydroxylated tectorigenin, di-hydroxylated tectorigenin, glucuronide-conjugated tectorigenin and sulfate-conjugated tectorigenin); three metabolites in faeces (tectorigenin, di-hydroxylated tectorigenin and sulfateconjugated tectorigenin); one metabolite in the intestinal flora incubation mixture (tectorigenin), and four in the liver microsomal incubation mixture (tectorigenin, hydrogenated tectorigenin, mono-hydroxylated tectorigenin and di-hydroxylated tectorigenin). Except for tectorigenin, all other metabolites of tectoridin are reported for the first time.",205
Nutritional quality of black bean (Phaseolus) seeds,NA,NA,206
"Flavonoid glycosides and antioxidant capacity of various blackberry, blueberry and red grape genotypes determined by high-performance liquid chromatography/mass spectrometry",NA,NA,207
Physicochemical and quality characteristics of cold-pressed flaxseed oils,NA,NA,208
Novel approach to the detection and quantification of phenolic compounds in olive oil based on 31P nuclear magnetic resonance spectroscopy,16448164,"31P NMR spectroscopy has been employed to detect and quantify phenolic compounds in the polar fraction of virgin olive oil. This novel analytical method is based on the derivatization of the hydroxyl and carboxyl groups of phenolic compounds with 2-chloro-4,4,5,5-tetramethyldioxaphospholane and the identification of the phosphitylated compounds on the basis of the 31P chemical shifts. Quantification of a large number of phenolic compounds in virgin olive oil can be accomplished by integration of the appropriate signals in the 31P NMR spectrum and the use of the phosphitylated cyclohexanol as internal standard. Finally, the validity of this technique for quantitative measurements was thoroughly examined.",209
Flavonoid content of several vegetables and their antioxidant activity,NA,NA,210
Antioxidant and antiproliferative activities of common vegetables,NA,NA,211
Effect of cooking on the antioxidant properties of coloured peppers,NA,NA,212
"Changes in the phytochemical composition and profile of raw, boiled, and roasted peanuts",17924703,"Peanuts are consumed mostly as processed products. Although the effect of processing on isoflavone composition of legumes has been extensively studied, there has been no such study on peanuts. The objective of this study was to evaluate the effect of processing (boiling, oil- and dry-roasting) on the phytochemical composition of peanuts. Boiling had a significant effect on the phytochemical composition of peanuts compared to oil- and dry-roasting. Boiled peanuts had the highest total flavonoid and polyphenol content. The biochanin A and genistein content of boiled peanut extracts were two- and fourfold higher, respectively. trans-Resveratrol was detected only in the boiled peanuts, with the commercial product having a significantly (p < or = 0.05) higher concentration. Ultraviolet and mass spectrometry chromatograms for the boiled peanut extracts show the presence of four additional peaks that were not observed in the raw peanut extracts.",213
Comparison of extraction methods for the quantification of selected phytochemicals in peanuts (Arachis hypogaea),17227055,"Peanuts have been reported to contain bioactive phytochemicals, particularly isoflavones (genistein, daidzein, and biochanin A) and trans-resveratrol. Currently, limited data are available regarding the levels of these bioactive compounds in peanuts with variations in reported levels. The purpose of this study was to compare four methods of extraction [stirring, sonication, Soxtec, and microwave-assisted sonication (MAS)] for runner peanuts. Quantification of the selected compounds was conducted by reverse-phase high-performance liquid chromatography (RP-HPLC). The results showed that the MAS and Soxtec methods extracted significantly higher amounts of the phytochemicals. Also, the defatted peanuts gave significantly higher amounts of the phytochemicals compared to the nondefatted peanuts. The high levels of the isoflavones may be attributed to heat-induced conversion of conjugate glycosides to aglycons. The MAS and Soxtec methods may be used for total isoflavone content quantitation, while sonication or stirring may be the method of choice for quantitation of isoflavone composition (aglycons and glycoside conjugates) in peanuts.",214
Superoxide radical scavenging activity of the major polyphenols in fresh plums,14690398,"The effect of polyphenols among different varieties of plums on superoxide radical scavenging activity (SRSA) was studied by an enzymatic method and their IC(50) values were determined. We found that the SRSA levels of the polyphenols were closely related to their chemical structures; cyanidin showed the lowest IC(50) among the polyphenols examined, and aglycones are more effective than their glycosides. BY 69-339 cultivar exhibited the lowest IC(50) among the eleven plum cultivars, which means the highest antioxidant activity in scavenging superoxide radicals, followed by French Damson, Cacaks Best, Beltsville Elite B70197, Empress, Castleton, Stanley, NY 6, NY 101, Mirabellier, and NY 9. IC(50) values showed a higher correlation with total flavonoids (r (2) = 0.8699) than total phenolics (r (2) = 0.8355), which indicated that flavonoids might contribute to the total SRSA more directly than other polyphenols. Anthocyanins in plums appeared to be the major contributors to the total SRSA, except for two yellow cultivars having no anthocyanins. Chlorogenic acid was the predominant phenolic acid, and it also exhibited SRSA significantly in the range of 1.0 to 94.9%. Quercetins were the major flavonols in plums. However, they showed relatively low contribution to the total SRSA.",215
Contribution of individual polyphenolics to total antioxidant capacity of plums,14640564,"To study the effect of polyphenolics on antioxidant capacities of plums, the amounts of total phenolics, total flavonoids and individual phenolic compounds, and vitamin C equivalent antioxidant capacity (VCEAC) of eleven plum cultivars was determined. There was a good linear relationship between the amount of total phenolics and total antioxidant capacity (r2 = 0.9887). The amount of total flavonoids and total antioxidant capacity also showed a good correlation (r2 = 0.9653). Although the summation of individual antioxidant capacity was lower than the total antioxidant capacity of plum samples, there was a positive correlation (r2 = 0.9299) of total antioxidant capacity of plum samples with the sum of the VCEACs calculated from individual phenolics. Chlorogenic acids and glycosides of cyanidin, peonidin, and quercetin were major phenolics among eleven plum cultivars. The antioxidant capacity of chlorogenic acids and anthocyanins showed higher correlation (r2) of 0.7751 and 0.6616 to total VCEAC, respectively, than that of quercetin glycosides (r2 = 0.0279). Chlorogenic acids were a major source of antioxidant activity in plums, and the consumption of one serving (100 g) of plums can provide antioxidants equivalent to 144.4-889.6 mg of vitamin C.",216
Consideration on equivalent chemicals in total phenolic assay of chlorogenic acid-rich plums,NA,NA,217
Antioxidant properties of raw and processed cabbages,15223595,"To study the effect of polyphenolics on antioxidant activities of cabbages, the amounts of total phenolics, total flavonoids, antioxidant capacity and individual phenolic compounds in raw and processed cabbages were determined. Fresh and pickled red cabbages exhibited the highest total phenolic contents (393.1+/-10.8 mg and 366.3+/-3.6 mg gallic acid equivalents/100 g fresh sample, respectively). Fresh and pickled red cabbages were also highest in flavonoids (108.1+/-9.3 mg and 72.4+/-4.4 mg catechin equivalents/100 g fresh sample, respectively). The antioxidant capacity (expressed as vitamin C equivalent antioxidant capacity) ranged from 57.1 to 695.6 mg vitamin C equivalents/100 g fresh sample, where raw and pickled red cabbages exhibited the highest antioxidant capacity. There was a good linear relationship between the total phenolics and antioxidant capacity (r2=0.9743), and between the total flavonoids and antioxidant capacity (r2=0.9557); however, the relationship between the ascorbic acid content and antioxidant capacity was very low (r2=0.1442). The antioxidant capacity of raw and processed cabbages was highly correlated with their contents of polyphenolics. Kaempferol, quercetin, and apigenin were the major flavonoids existing in cabbages except for raw and pickled red cabbages, where cyanidin was the predominant flavonoid (73.6-117.7 mg/kg). In the red cabbages, cyanidin was the major contributor to the antioxidant capacity as well as the content of total phenolics and flavonoids.",218
Daily consumption of phenolics and total antioxidant capacity from fruit and vegetables in the American diet,NA,NA,219
Contents of polyphenols in fruit and vegetables,NA,NA,220
An LC-MS method to determine concentrations of isoflavones and their sulfate and glucuronide conjugates in urine,10509897,"Most methods for detecting isoflavones in biological samples do not measure the concentration of sulfate conjugates. An LC-MS method is reported here to estimate urinary concentrations of genistein and daidzein, their sulfate and glucuronide conjugates and other major metabolites. Human and rat urine samples were extracted with diethyl ether, or pre-digested with sulfatase and/or beta-glucuronidase followed by extraction. The isoflavones were separated using gradient LC methods and detected by negative single ion monitoring on an MS system using a heated nebulizer atmospheric pressure chemical ionization interface. CVs for inter- and intra-assay variability were generally < 20 and 10%, respectively. Preliminary studies using these procedures demonstrate 52+/-4 and 26+/-4% of genistein in rat urine was found as the aglycone and sulfate conjugates, respectively, compared to 0.36 and 4%, respectively, in human urine. This method is suitable for the study of isoflavone sulfate conjugates in biological fluids.",221
Measurement of intact sulfate and glucuronide phytoestrogen conjugates in human urine using isotope dilution liquid chromatography-tandem mass spectrometry with [13C(3)]isoflavone internal standards,12381375,"A method has been developed for the analysis of phytoestrogens and their conjugates in human urine using liquid chromatography electrospray ionization tandem mass spectrometry (LC-ESI-MS/MS). Stable isotopically labeled [13C(3)]daidzein and [13C(3)]genistein were synthesized and used as internal standards for isotope dilution mass spectrometry. Free aglycons and intact glucuronide, sulfate, diglucuronide, disulfate, and mixed sulfoglucuronide conjugates of isoflavones and lignans were observed in naturally incurred urine samples. Sample pretreatment was not necessary, other than addition of internal standards and pH adjustment. Urine was injected directly onto the analytical column. The limits of detection were generally <50ng/ml, precision was generally <10% CV for conjugates. Total hydrolyzed daidzein and genistein were measured against quality assurance urine sample and were accurate to within 12%. The accuracy of conjugate measurement can not be ascertained, as no reference samples are available. The mean sum of daidzein and its conjugates was within 20% of the hydrolyzed value. Concentrations of the free aglycons of up to 22% of genistein and 18% of daidzein were observed. The average pattern was ca. 54% 7-glucuronide, 25% 4(')-glucuronide, 13% monosulfates, 7% free daidzein, 0.9% sulfoglucuronides, 0.4% diglucuronide, and <0.1% disulfate. Selective enzymatic deconjugation with glucuronidase and mixed glucuronidase/sulfatase were used to validate the accuracy of the quantitation of the intact daidzein conjugates. There were no apparent sex differences, or conditioning effects on the conjugation profile of isoflavones after chronic dosing.",222
"Determination of unusual soya and non-soya phytoestrogen sources in beer, fish products and other foods",15712520,"Fish and fish products (14 samples), Indian foods and meals (10 samples), spices (30 samples) and beers (10 samples) were analysed for their phytoestrogen content, and a number of significant non-soya sources of dietary phytoestrogens were identified. No isoflavones were detected in unprocessed, farmed or ocean fish, but some samples of processed fish products contained soya isoflavones, which are assumed to come from coatings or protein addition. Additionally, some processed fish products contained, genistein glycocongugates not derived from soya. Genistein was detected in Indian meals such that, for example, a single portion of a vindalooo curry contained 11 mg genistein. The origin was most likely from the spices used, since the analysis of curry powders, chilli powder, crushed red chillies, garam masala and tandoori powder revealed that some contained genistein at more than 100 mg kg(-1). Cumin was the most likely source material, although not all individual samples of cumin tested contained high levels of genistein. Prenylnaringenin phytoestrogens were determined in UK hop-based beers at mean concentrations of 0.21 mg(-1) 6-prenylnaringenin and 0.06mg(-1) 8-prenylnaringenin. The beers also contained traces of daidzein, genistein and biochanin A. The significance of 'hidden soya' in processed foods and these non-soya sources of phytoestrogens is that UK dietary intake of phytoestrogens must be assumed to be higher than estimated previously and that some sources of phytoestrogens remain poorly characterized.",223
The chlorogenic acids content of coffee substitutes,NA,NA,224
Hippuric acid as a major excretion product associated with black tea consumption,10752646,"1. Nine habitual tea-drinking volunteers were recruited and asked to follow a low-polyphenol and low-caffeine diet for 6 days and to provide daily 24-h urine samples. On day 4 of the experiment strong black tea brewed under standardized conditions was re-introduced to the volunteers' diet. 2. 1H-NMR and HPLC profiling of the urine samples indicated that consumption of black tea (6-10 mugs per day) was associated with a significant (p = 0.00017) increase in hippuric acid excretion relative to control, increasing from 153-512 to 742-1374 mg day(-1). The excretion of substantial amounts of hippuric acid has not previously been associated with black tea consumption. 3. For some volunteers, the quantity of benzoic acid processed exceeded the acceptable daily intake (ADI), but this is not considered to constitute any hazard. 4. A mass-balance analysis indicated that the necessary quantity of benzoic acid could not be obtained from the contents of gallic acid, flavanols, flavonol glycosides and theaflavins in black tea even if 100% transformation was obtained, suggesting that the thearubigins (the major and chemically ill-defined polyphenols of black tea) may be an important source.",225
Ferulic acid release and 4-vinylguaiacol formation during brewing and ferrmentation: indications for feruloyl estrease activity in Saccharomyces cerevisiae,14759156,"The release of ferulic acid and the subsequent thermal or enzymatic decarboxylation to 4-vinylguaiacol are inherent to the beer production process. Phenolic, medicinal, or clove-like flavors originating from 4-vinylguaiacol frequently occur in beer made with wheat or wheat malt. To evaluate the release of ferulic acid and the transformation to 4-vinylguaiacol, beer was brewed with different proportions of barley malt, wheat, and wheat malt. Ferulic acid as well as 4-vinylguaiacol levels were determined by HPLC at several stages of the beer production process. During brewing, ferulic acid was released at the initial mashing phase, whereas moderate levels of 4-vinylguaiacol were formed by wort boiling. Higher levels of the phenolic flavor compound were produced during fermentations with brewery yeast strains of the Pof(+) phenotype. In beer made with barley malt, ferulic acid was mainly released during the brewing process. Conversely, 60-90% of ferulic acid in wheat or wheat malt beer was hydrolyzed during fermentation, causing higher 4-vinylguaiacol levels in these beers. As cereal enzymes are most likely inactivated during wort boiling, the additional release of ferulic acid during fermentation suggests the activity of feruloyl esterases produced by brewer's yeast.",226
"Phenolic acids, syringaldehyde, and juglone in fruits of different cultivars of juglans regia L",16076123,"Phenolic acids (chlorogenic, caffeic, p-coumaric, ferulic, sinapic, ellagic, and syringic acid) as well as syringaldehyde and juglone were identified in ripe fruits of 10 walnut cultivars: Adams, Cisco, Chandler, Franquette, Lara, Fernor, Fernette, Alsoszentivani 117 (A-117), Rasna, and Elit. Analyses were done using a high-performance liquid chromatograph equipped with a diode array detector. Significant differences in the contents of identified phenolics were observed among cultivars. Phenolics were determined separately in the kernel and in the thin skin of the walnut, termed the pellicle. Not only in the kernel but also in the pellicle did syringic acid, juglone, and ellagic acid predominate (average values of 33.83, 11.75, and 5.90 mg/100 g of kernel; and 1003.24, 317.90, and 128.98 mg/100 g of pellicle, respectively), and the contents of ferulic and sinapic acid (average values of 0.06 and 0.05 mg/100 g of kernel and 2.93 and 2.17 mg/100 g of pellicle, respectively) were the lowest in all cultivars. The highest differences in the sum of all identified phenolics were observed between Rasna and Fernette fruits; in Rasna there were >2-fold higher contents of identified phenolics in both kernel and pellicle. It was found that the walnut pellicle is the most important source of walnut phenolics. The ratio between the contents in pellicle and kernel varied by at least 14.8-fold for caffeic acid (cv. Adams) and by up to 752.0-fold for p-coumaric acid (cv. Elit).",227
Biotransformation of genistein in the rat: elucidation of metabolite structure by product ion mass fragmentology,10622405,"Biotransformation of the phytoestrogen [14C]genistein was investigated in male and female rats by application of narrow-bore radio-HPLC-MSn (LCQ, Finnigan) to determine intermediates in metabolism. Urine contained five metabolites, Gm1-Gm5, 24 h after dosing by gavage with [14C]genistein (4 mg kg(-1)). Structural analysis following ESI revealed molecular ions [M+H]+ of m/z 447, 449, 273, and 271 for metabolites Gm2, Gm3, Gm5 and genistein, respectively and an [M-H]- of m/z 349 for Gm4. Metabolite structure was deduced by evaluation of product ion spectra derived from unlabelled and [14C]-labelled ions and sensitivity to treatment with beta-glucuronidase. These studies indicated identity of metabolites with genistein glucuronide (Gm2), dihydrogenistein glucuronide (Gm3), genistein sulphate (Gm4) and dihydrogenistein (Gm5). Detection of the beta-glucuronidase resistant major metabolite Gm1 by ESI was poor and so was analysed by negative ion APCI; this revealed a deprotonated molecular ion of m/z 165 which had chromatographic and mass spectral properties consistent with authentic 4-hydroxyphenyl-2-propionic acid, a novel metabolite of genistein. In vitro metabolism studies with anaerobic caecal cultures derived from male and female rats revealed metabolism of genistein to Gm1 via Gm5 and an additional metabolite (Gm6) which was identified from product ion spectra as 6'-hydroxy-O-desmethylangolensin. Biotransformation of genistein by both isolated hepatocytes and precision-cut liver slices was limited to glucuronidation of parent compound. Commonality of genistein metabolites found in rats with those reported in man suggest similar pathways of biotransformation, primarily involving gut micro-flora.",228
"Changes in capsaicinoids during development, maturation, and senescence of chile peppers and relation with peroxidase activity",NA,NA,229
Development of analyses by high-performance liquid chromatography and liquid chromatography/tandem mass spectrometry of bilberry (Vaccinium myrtilus) anthocyanins in human plasma and urine,16968056,"Anthocyanins are potent antioxidants that may possess chronic disease preventive properties. Here, rapid, reliable, and reproducible solid-phase extraction, high-performance liquid chromatography (HPLC), and mass spectrometry techniques are described for the isolation, separation, and identification of anthocyanins in human plasma and urine. Recoveries of cyanidin-3-glucoside (C3G) were 91% from water, 71% from plasma, and 81% from urine. Intra- and interday variations for C3G extraction were 9 and 9.1% in plasma and 7.1 and 9.1% in urine and were less than 15% for all anthocyanins from a standardized bilberry extract (mirtoselect). Analysis of mirtoselect by HPLC with UV detection produced spectra with 15 peaks compatible with anthocyanin components found in mirtoselect within a total run time of 15 min. Chromatographic analysis of human urine obtained after an oral dose of mirtoselect yielded 19 anthocyanin peaks. Mass spectrometric analysis employing multiple reaction monitoring suggests the presence of unchanged anthocyanins and anthocyanidin glucuronide metabolites.",230
LC-MS identification of anthocyanins in boysenberry extract and anthocyanin metabolites in human urine following dosing,NA,NA,231
Rapid reversed phase ultra-performance liquid chromatography analysis of the major cocoa polyphenols and inter-relationships of their concentrations in chocolate,17362030,"Chocolate and other cocoa-containing products are a rich source of polyphenols. This paper describes an ultra-performance liquid chromatography (UPLC) method that can separate and quantify in 3 min six of the major chocolate polyphenols: catechin; epicatechin; B2 (epicatechin-4beta-8-epicatechin); B5 (epicatechin-4beta-6-epicatechin); C1 (epicatechin-4beta-8-epicatechin-4beta-8-epicatechin); and tetramer D (epicatechin-4beta-8-epicatechin-4beta-8-epicatechin-4beta-8-epicatechin). A survey of 68 chocolate samples indicated that there was a strongly predictive relationship between epicatechin and the other individual polyphenols, especially procyanidin B2 (R 2 = 0.989), even though the chocolates came from varied sources and manufacturers. The relationship was less strong with catechin, and so further work to explore the reasons for this difference was performed. Chiral analysis on a subset of 23 chocolates showed that (-)-epicatechin had a predictive relationship with (+)-catechin in line with the other polyphenols, but not with (-)-catechin (the predominant form). This indicates that (-)-catechin is the most affected by manufacturing conditions, possibly formed through epimerization from (-)-epicatechin during processing. The results show that epicatechin concentrations can be used to predict the content of other polyphenols, especially B2 and C1, and total polyphenols content. Finally, the (-)-catechin content is not predictable from the epicatechin content, and it is concluded that this is the main form of polyphenol that varies according to manufacturing conditions and cocoa origin.",232
High-performance thin-layer chromatographic-densitometric determination of secoisolariciresinol diglucoside in flaxseed,15378898,"A HPTLC-densitometric method, based on an external standard approach, was developed in order to obtain a novel procedure for routine analysis of secoisolariciresinol diglucoside (SDG) in flaxseed with a minimum of sample pre-treatment. Optimization of TLC conditions for the densitometric scanning was reached by eluting HPTLC silica gel plates in a horizontal developing chamber. Quantitation of SDG was performed in single beam reflectance mode by using a computer-controlled densitometric scanner and applying a five-point calibration in the 1.00-10.00 microg/spot range. As no sample preparation was required, the proposed HPTLC-densitometric procedure demonstrated to be reliable, yet using an external standard approach. The proposed method is precise, reproducible and accurate and can be employed profitably in place of HPLC for the determination of SDG in complex matrices.",233
Validation of a reversed phase high performance thin layer chromatographic-densitometric method for secoisolariciresinol diglucoside determination in flaxseed,18790492,"The validation of a HPTLC-densitometric method for the determination of secoisolariciresinol diglucoside (SDG) in flaxseed was performed improving the reproducibility of a previously reported HPTLC densitometric procedure by the use of fully wettable reversed phase plates (silica gel 60 RP18W F(254S), 10cmx10cm) with MeOH:HCOOH 0.1% (40:60, v/v) mobile phase. The analysis required only the alkaline hydrolysis in aqueous medium of undefatted samples and densitometry at 282nm of HPTLC runs. The method was validated following the protocol proposed by the Société Francaise des Sciences et Techniques Pharmaceutiques (SFSTP) giving rise to a dependable and high throughput procedure well suited to routine application. SDG was quantified in the range of 321-1071ng with RSD of repeatability and intermediate precision not exceeding 3.61% and accuracy inside the acceptance limits. Flaxseed of five cultivars of different origin was elected as test-bed.",234
Influence of cultivar on quality parameters and chemical composition of strawberry fruits grown in Brazil,11958626,"Six strawberry cultivars grown on the same commercial plantation in Brazil were evaluated for their chemical composition and quality attributes at the ripe stage. The profiles of the main soluble sugars, ascorbic acid, and anthocyanins were also obtained during the developmental stages. Results showed significant differences among cultivars in all of the investigated parameters. Cv. Campineiro showed an average value for texture of 0.63 N, half the value found for cv. Oso Grande. Anthocyanin content ranged from 13 (cv. Campineiro) to 55 (cv. Mazi) mg/100 g. Total ascorbic acid found for cv. Campineiro (85 mg/100 g) was twice the amount found in cv. Dover (40 mg/100 g). Fructose was the predominant soluble sugar in almost all cultivars. The proportion among the main soluble sugars (fructose, sucrose, and glucose) was similar for Oso Grande and Toyonoka cultivars. The flavonol content (quercetin plus kaempferol derivatives) ranged from 2.7 to 7.1 mg/100 g, with a mean value of 6.1 mg/100 g, whereas free ellagic acid ranged from 0.9 to 1.9 and total phenolics varied from 159 to 289 (mean 221) mg/100 g.",235
Effects of temperature on the chemical composition and antioxidant activity of three strawberry cultivars,NA,NA,236
Simultaneous determination of multiple constituents in real beer samples of different origins by capillary zone electrophoresis,15490130,"Simultaneous determination of alcohols, amines, amino acids, flavonoids, and purine and pyrimidine bases in bottled beer samples directly without any pre-treatment was carried out by capillary zone electrophoresis with diode-array detection. Electrolyte conditions such as pH, composition and concentration of the buffer, working voltage and type and time of injection were checked. The best separation of the cited analytes was achieved in 70 mM sodium borate solution and pH 10.25. The detection limits were from 2.1 to 5.6 mg L(-1) for the 18 compounds studied. The developed method is rapid, sensitive and quantitative and has been applied to seven types of international bottled beers of different origins bought locally.",237
Stability of anthocyanins of blue maize (Zea mays L.) after nixtamalization of seperated pericarp-germ tip cap and endosperm fractions,NA,NA,238
Effects of juice processing on cranberry antioxidant properties,NA,NA,239
Chocolate and cocoa: New sources of trans-resveratrol and trans-piceid,NA,NA,240
"The C-glycosyl flavonoid, aspalathin, is absorbed, methylated and glucuronidated intact in humans",19653227,"Human bioavailability of the flavonoid dihydrochalcones is little understood, and no evidence exists for C-glycosyl flavonoid absorption in humans. The present study uses catechol-O-methyltransferase to generate methylated metabolites of aspalathin (a C-glycosyl dihydrochalcone from rooibos tea). One of the methylated forms, both with and without glucuronidation, was detected using LC-MS/MS in the urine of human subjects (n = 6), demonstrating that deglycosylation is not a prerequisite for C-glycosyl flavonoid absorption. Methylation is catalysed by both intestine and liver cytosolic extracts. The results show that flavonoid C-glycosides are methylated and glucuronidated in vivo in an intact form in humans.",241
"Quantitative analysis of the flavonoids content of commercial tomatoes, onions, lettuce and celery",NA,NA,242
Effect of Processing on Taste Quality and Health-Relevant Functionality of Sweet Potato Tips,NA,NA,243
Antioxidant activity and phenolic compounds in the edible parts of early and late italian artichoke (Cynara scolymus L.) varieties,NA,NA,244
Chlorogenic acid profile of commercial Brazilian herbal infusions,NA,NA,245
Composition of free and hydrolyzable phenolic acids in defatted flours of ten oilseeds,NA,NA,246
Effect of bruising on the total glycoalkaloid and chlorogenic acid content of potato (Solanum tuberosum) tubers of five cultivars,NA,NA,247
"Extraction, stability, and quantitation of ellagic acid in various fruits and nuts",NA,NA,248
Chlorogenic acid content of fresh and processed potatoes determined by ultraviolet spectrophotometry,NA,NA,249
Identification of isomeric flavonoid glucuronides in urine and plasma by metal complexation and LC-ESI-MS/MS,16810646,"Noncovalent complexes were used for structural determination and isomer differentiation of flavonoid glucuronides. Several flavonoid glucuronides including naringenin-7-O-glucuronide, synthesized here for the first time, were used as test compounds. Electrospray ionization quadrupole ion trap mass spectrometry with collision-induced dissociation (CID) was used to analyze complexes of the form [Co(II) (L-H) (Aux)]+ and [Co(II) (L-H) (Aux)2]+, in which L is the flavonoid glucuronide and Aux is a phenanthroline-based ligand. These complexes yielded characteristic fragmentation patterns that facilitated assignment of the substitution position of the glucuronides. The methods were adapted to liquid chromatography/tandem mass spectrometry (LC-MS/MS) with postcolumn cobalt complexation and were tested on extracts from biological fluids. The metabolites naringenin-7-O-glucuronide and naringenin-4'-O-glucuronide were detected in human urine following the consumption of grapefruit juice. Isomeric quercetin glucuronides were identified and differentiated after spiking rat plasma at the 1 microM level, proving that the new methods are effective at biologically relevant concentrations.",250
Phenolic composition of kiwifruit juice,10794642,"Phenolic compounds in kiwifruit pulp were separated and characterized by reversed-phase HPLC, and the effect of juice processing on the phenolic composition was studied. Fractionation of phenolic compounds was achieved through selective elution from C-18 cartridges prior to preconcentration and subsequent separation by HPLC. Strongly acidic compounds were identified as derivatives of coumaric and caffeic acids, including chlorogenic acid, protocatechuic acid, and a derivative of 3,4-dihydroxybenzoic acid. The weakly acidic fraction contained epicatechin, catechin, and procyanidins (B3, B2, or B4 and oligomers). Flavonols were present as the glycosides of quercetin (glucoside, rhamnoside, and rutinoside) and kaempferol (rhamnoside and rutinoside). Phenolic compounds were present, at levels of <1-7 mg/L, in clarified juice. The concentration of phenolics was highest after high-temperature short-time treatment (HTST) of juice. Hydrolysis of hydroxycinnamic acids occurred after enzyme addition and HTST treatment. The flavonol glycoside composition is the best identifier of kiwifruit juice.",251
Human metabolism of dietary flavonoids: identification of plasma metabolites of quercetin,11811545,"The position of conjugation of the flavonoid quercetin dramatically affects biological activity in vitro, therefore it is important to determine the exact nature of the plasma metabolites. In the present study, we have used various methods (HPLC with diode array detection, LCMS, chemical and enzymic synthesis of authentic conjugates and specific enzymic hydrolysis) to show that quercetin glucosides are not present in plasma of human subjects 1.5 h after consumption of onions (a rich source of flavonoid glucosides). All four individuals had similar qualitative profiles of metabolites. The major circulating compounds in the plasma after 1.5 h are identified as quercetin-3-glucuronide, 3'-methylquercetin-3-glucuronide and quercetin-3'-sulfate. The existence of substitutions in the B and/or C ring of plasma quercetin metabolites suggests that these conjugates will each have very different biological activities.",252
Differentiation of raspberry varieties according to anthocyanin composition,NA,NA,253
"Structural and chemical changes in cocoa (Theobroma cacao L) during fermentation, drying and roasting",NA,NA,254
"Determination of coumarin, vanillin, and ethyl vanillin in vanilla extract products: liquid chromatography mass spectrometry method development and validation studies",17250844,"A LC-MS method was developed for the determination of coumarin, vanillin, and ethyl vanillin in vanilla products. Samples were analyzed using LC-electrospray ionization (ESI)-MS in the positive ionization mode. Limits of detection for the method ranged from 0.051 to 0.073 microg mL(-1). Using the optimized method, 24 vanilla products were analyzed. All samples tested negative for coumarin. Concentrations ranged from 0.38 to 8.59 mg mL(-1) (x =3.73) for vanillin and 0.33 to 2.27 mg mL(-1) (x =1.03) for ethyl vanillin. The measured concentrations are compared to values calculated using UV monitoring and to results reported in a similar survey in 1988. Analytical results, method precision, and accuracy data are presented.",255
